Ticker,Name,Sector,Industry,Last Price
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,5.269999980926514
LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,6.445000171661377
UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,6.90500020980835
UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,7.074999809265137
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas E&P,9.260000228881836
DXC,DXC Technology Company,Technology,Information Technology Services,9.545000076293944
CNH,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery,10.515000343322754
FMC,FMC Corporation,Basic Materials,Agricultural Inputs,10.68000030517578
GPK,Graphic Packaging Holding Company,Consumer Cyclical,Packaging & Containers,10.78499984741211
INFY,Infosys Limited,Technology,Information Technology Services,11.104999542236328
HUN,Huntsman Corporation,Basic Materials,Chemicals,11.93000030517578
F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,14.29360008239746
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,14.335000038146973
VALE,Vale S.A.,Basic Materials,Other Industrial Metals & Mining,14.52910041809082
AES,The AES Corporation,Utilities,Utilities - Diversified,14.78499984741211
PCG,PG&E Corporation,Utilities,Utilities - Regulated Electric,17.44499969482422
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,17.510000228881836
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,17.549999237060547
HBAN,Huntington Bancshares Incorporated,Financial Services,Banks - Regional,18.07999992370605
PBI,Pitney Bowes Inc.,Industrials,Integrated Freight & Logistics,18.420000076293945
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,19.045000076293945
TTD,"The Trade Desk, Inc.",Communication Services,Advertising Agencies,19.541099548339844
RIOT,"Riot Platforms, Inc.",Financial Services,Capital Markets,19.770000457763672
S,"SentinelOne, Inc.",Technology,Software - Infrastructure,20.1200008392334
T,AT&T Inc.,Communication Services,Telecom Services,21.44499969482422
CPB,The Campbell's Company,Consumer Defensive,Packaged Foods,22.125
BAX,Baxter International Inc.,Healthcare,Medical Instruments & Supplies,22.354999542236328
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,22.489999771118164
HPQ,HP Inc.,Technology,Computer Hardware,23.44499969482422
